skill,junior,middle,senior,unknown,total
OWASP,18,27,3,0,48
CI/CD,12,25,10,0,47
SAST,12,30,3,0,45
Python,15,22,5,0,42
DAST,12,24,3,0,39
Kubernetes,11,21,7,0,39
SCA,12,23,3,0,38
DevSecOps,12,24,1,0,37
Pentest,6,17,2,0,25
Secure SDLC,9,14,2,0,25
Java,5,14,4,0,23
SQL,5,11,5,0,21
TLS/PKI,6,13,2,0,21
Информационная безопасность,5,12,2,0,19
Linux,6,10,1,0,17
JavaScript,6,9,2,0,17
Git,5,6,4,0,15
OWASP ZAP,4,9,2,0,15
Burp Suite,4,10,1,0,15
Bug bounty,7,8,0,0,15
Docker,3,7,3,0,13
Agile,3,7,2,0,12
HTTP(S),5,5,2,0,12
Logging/SIEM,4,5,3,0,12
CVE,2,7,1,0,10
Web security,4,2,4,0,10
OAuth2/OIDC,1,6,2,0,9
Semgrep,2,7,0,0,9
WAF,6,3,0,0,9
SOC,2,5,2,0,9
CWE,5,3,0,0,8
Bash,4,2,1,0,7
Information Security,3,3,1,0,7
SonarQube,1,4,2,0,7
PostgreSQL,2,2,3,0,7
Sessions,3,2,1,0,6
CodeQL,2,4,0,0,6
CVSS,3,3,0,0,6
Threat modeling,2,3,1,0,6
SSDLC,2,4,0,0,6
Mobile security,2,3,0,0,5
JWT,0,4,1,0,5
OWASP Top 10,1,4,0,0,5
Английский язык,3,2,0,0,5
SAML,1,3,0,0,4
EDR,4,0,0,0,4
Cloud security,1,0,3,0,4
LDAP,2,2,0,0,4
OWASP MASVS,1,3,0,0,4
GitLab CI,0,4,0,0,4
TDORP,0,4,0,0,4
AppSec,1,2,1,0,4
RBAC,1,2,1,0,4
Организаторские навыки,2,1,1,0,4
Водитель,4,0,0,0,4
Водительское удостоверение категории B,4,0,0,0,4
Nmap,1,2,0,0,3
ASOC,2,1,0,0,3
Аудит безопасности,1,2,0,0,3
PAM,1,1,1,0,3
С#,1,2,0,0,3
Аудит информационной безопасности,1,1,1,0,3
API security,1,0,2,0,3
Ansible,1,1,1,0,3
IAM,0,2,1,0,3
Fuzzing,1,2,0,0,3
Kafka,0,1,2,0,3
Деловая переписка,1,1,1,0,3
