skill,count
CI/CD,53
OWASP,52
Python,51
SAST,47
DAST,44
Kubernetes,43
SCA,40
DevSecOps,39
Java,29
Secure SDLC,28
Pentest,22
TLS/PKI,21
Git,21
Burp Suite,19
Docker,17
Информационная безопасность,17
JavaScript,17
Linux,16
Logging/SIEM,15
SQL,15
WAF,13
OWASP ZAP,11
CWE,11
OWASP Top 10,10
Agile,10
Web security,10
Semgrep,10
HTTP(S),9
OAuth2/OIDC,9
CVSS,9
SonarQube,8
Nmap,7
SSDLC,7
CodeQL,7
Bash,6
Sessions,6
PostgreSQL,6
Information Security,6
Threat modeling,5
Ansible,5
AppSec,5
Cloud security,4
TDORP,4
GitLab CI,4
Английский язык,4
PowerShell,3
API security,3
ASOC,3
Atlassian Jira,3
TCP/IP,3
Terraform,3
C#,3
REST API,2
ООП,2
Pytest,2
Allure,2
Grafana,2
HTTP,2
gRPC,2
Тестирование безопасности,2
bug bounty,2
Уязвимости защиты,2
OSA,2
Проектная документация,2
Nginx,2
Application Security,2
C++,2
AWS,2
Zabbix,2
Kafka,2
MySQL,2
RabbitMQ,2
.NET Core,2
Виртуализация,2
DevOps,2
DNS,2
Работа с большим объемом информации,2
Организация деловых поездок,2
Документооборот,2
Тестирование на проникновение,1
Hibernate,1
Spring Data,1
IT,1
OWASP TOP10,1
Gitlab,1
secops,1
application security,1
appsec,1
Проведение тестирований,1
NoSQL,1
Алгоритмы и структуры данных,1
R&D,1
Spring Framework,1
Рекрутмент,1
Подбор персонала,1
DDoS,1
Prometheus,1
CTF,1
BugBounty,1
MS SQL,1
Vulnerability assessment,1
Сети,1
Функциональное тестирование,1
Автотестирование,1
Интеграционное тестирование,1
red team,1
Аудит безопасности,1
MAST,1
Go,1
Bug Tracker,1
Application security,1
treat modelling,1
OS Linux,1
Работа с клиентами,1
Управление продажами,1
Стратегические продажи,1
Сетевая атака,1
NIST,1
фаззинг,1
C/C++,1
ФСТЭК,1
динамический анализ,1
Сканеры безопасности,1
статический анализ,1
Fuzzing,1
Безопасность,1
CA,1
Apache,1
Управление требованиями,1
Qt,1
Сетевые протоколы,1
B2B Продажи,1
Публичные выступления,1
Навыки презентации,1
GitHub,1
Clickhouse,1
Snowflake,1
SAST/DAST,1
CSA,1
osa,1
Secrets detection,1
security quality gates,1
VS CSE,1
ELK,1
k8s,1
Atlassian Confluence,1
Flask,1
Redis,1
FastAPI,1
Business English,1
CSS3,1
HTML,1
jQuery,1
Ajax,1
JSON API,1
React,1
Web Application Development,1
HTML5,1
aws,1
gcp,1
EVM,1
backend,1
etherium,1
go,1
.NET Framework,1
С#,1
MS Visual Studio,1
СУБД,1
Организация учебного процесса,1
Обучение и развитие,1
Организаторские навыки,1
VMware,1
Asterisk,1
L2 VPN,1
Деловая переписка,1
OpenStack,1
Администрирование серверов Linux,1
OpenShift,1
OSI,1
KVM,1
VLAN,1
Debian,1
L3 VPN,1
Ubuntu Server,1
киберзащита,1
DDOS,1
PTAF,1
уязвимость,1
Websocket,1
DPI,1
высоконагруженный,1
Анализ данных,1
Аудит информационной безопасности,1
Wallarm,1
UTM,1
Hyper-V,1
Grey box testing,1
Red Teaming,1
ISO 27001,1
Penetration testing,1
