skill,junior,middle,senior,unknown,total
CI/CD,34,58,30,4,126
Python,38,51,19,4,112
SQL,28,47,15,1,91
Kubernetes,22,48,18,2,90
Git,25,42,18,2,87
Java,11,35,12,3,61
OWASP,21,34,4,1,60
Linux,17,30,8,0,55
SAST,16,31,3,2,52
TLS/PKI,14,26,9,1,50
DevSecOps,16,25,2,4,47
JavaScript,13,22,10,2,47
Docker,9,28,9,0,46
DAST,15,25,3,2,45
SCA,15,23,3,2,43
HTTP(S),14,19,4,2,39
PostgreSQL,8,18,13,0,39
Agile,9,16,10,1,36
Logging/SIEM,10,15,5,6,36
Pentest,7,18,4,4,33
Информационная безопасность,6,13,6,0,25
Secure SDLC,9,14,2,0,25
Английский язык,8,12,4,0,24
Web security,5,5,9,1,20
OWASP ZAP,5,11,2,0,18
Burp Suite,4,12,1,0,17
Cloud security,2,8,7,0,17
Bash,5,8,3,0,16
Bug bounty,7,9,0,0,16
Sessions,3,6,6,1,16
OAuth2/OIDC,2,8,4,0,14
WAF,7,7,0,0,14
REST API,4,6,4,0,14
TypeScript,3,5,5,0,13
CVE,3,8,1,0,12
DevOps,4,6,2,0,12
API,5,7,0,0,12
RBAC,2,9,0,0,11
Apache Kafka,2,3,6,0,11
RabbitMQ,1,4,6,0,11
SOC,2,6,2,0,10
CWE,6,4,0,0,10
React,5,3,2,0,10
Деловая коммуникация,7,2,1,0,10
Redis,1,6,3,0,10
Функциональное тестирование,6,4,0,0,10
Spring Framework,1,5,3,0,9
Semgrep,2,7,0,0,9
SonarQube,1,5,3,0,9
JWT,1,6,2,0,9
Gitlab,2,6,1,0,9
Information Security,4,3,1,0,8
CVSS,4,4,0,0,8
Threat modeling,2,3,1,2,8
GitLab CI,1,5,2,0,8
OWASP Top 10,2,6,0,0,8
HTML,3,3,0,2,8
MySQL,0,6,2,0,8
Деловая переписка,5,2,1,0,8
Active Directory,1,5,2,0,8
Информационные технологии,2,2,3,0,7
LDAP,3,3,1,0,7
HTTP,2,4,1,0,7
Техническая поддержка,5,2,0,0,7
Golang,4,1,2,0,7
EDR,4,0,0,2,6
CodeQL,2,4,0,0,6
TCP/IP,1,4,1,0,6
Zabbix,0,4,2,0,6
Nginx,0,3,3,0,6
SSDLC,2,4,0,0,6
C++,1,3,2,0,6
Kafka,0,3,3,0,6
Atlassian Jira,2,2,2,0,6
VMware,1,4,1,0,6
Администрирование серверов Linux,0,4,2,0,6
REST,2,3,1,0,6
SAML,1,4,0,0,5
Nmap,2,3,0,0,5
PAM,1,2,1,1,5
С#,1,3,1,0,5
Terraform,0,4,1,0,5
Go,2,3,0,0,5
GitHub,3,2,0,0,5
Микросервисная архитектура,0,3,2,0,5
Работа с большим объемом информации,3,2,0,0,5
Организаторские навыки,2,3,0,0,5
Grafana,0,3,2,0,5
Ручное тестирование,4,1,0,0,5
PHP,2,3,0,0,5
Postman,1,4,0,0,5
Управление командой,2,0,3,0,5
Тестирование,2,3,0,0,5
Правила дорожного движения,2,2,1,0,5
NoSQL,0,2,2,0,4
Pytest,2,1,1,0,4
PowerShell,1,3,0,0,4
Mobile security,1,3,0,0,4
Аудит информационной безопасности,2,1,1,0,4
API security,1,1,2,0,4
React Native,1,3,0,0,4
IAM,0,3,1,0,4
TDORP,0,4,0,0,4
AppSec,1,2,1,0,4
СУБД,1,3,0,0,4
CORS,0,3,1,0,4
Деловое общение,3,1,0,0,4
Node.js,0,1,3,0,4
FastAPI,1,2,1,0,4
Работа с базами данных,2,1,1,0,4
Базы данных,3,0,1,0,4
gRPC,2,1,1,0,4
Регрессионное тестирование,2,2,0,0,4
Prometheus,1,2,1,0,4
QA,1,3,0,0,4
Постановка задач разработчикам,2,1,1,0,4
Техническая эксплуатация,2,2,0,0,4
Jenkins,0,4,0,0,4
MS SQL,1,2,1,0,4
Обучение и развитие,3,1,0,0,4
Знание устройства автомобиля,2,2,0,0,4
Телефонные переговоры,4,0,0,0,4
SOLID,2,2,0,0,4
Clickhouse,1,2,1,0,4
Allure,1,1,1,0,3
ASOC,2,1,0,0,3
Аудит безопасности,1,2,0,0,3
SSO,1,1,1,0,3
Ansible,0,1,2,0,3
